1,10,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,3
32,2,nulla sed vel enim sit amet nunc,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,4
33,11,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,quam pede lobortis ligula sit amet eleifend pede libero quis,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,3
34,13,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,1
35,9,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,1
36,14,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,3
37,10,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,1
38,19,iaculis diam erat fermentum justo nec,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,3
39,9,adipiscing elit proin interdum mauris non ligula pellentesque,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,ligula nec sem duis aliquam convallis nunc proin at turpis a pede,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,1
40,10,neque vestibulum eget vulputate ut ultrices,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,in magna bibendum imperdiet nullam orci pede venenatis non sodales,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,1
41,4,sit amet nulla quisque arcu,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,elementum in hac habitasse platea dictumst morbi vestibulum velit id,1
42,13,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,semper est quam pharetra magna ac consequat metus sapien ut nunc,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,2
43,11,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,2
44,2,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,1
45,13,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,in sagittis dui vel nisl duis ac nibh fusce lacus,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,3
46,16,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,2
47,1,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,3
48,7,velit eu est congue elementum in hac habitasse,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,3
49,3,ante ipsum primis in faucibus orci,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,pede libero quis orci nullam molestie nibh in lectus pellentesque,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,2
50,20,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,3
